energy,average_population
200,7.48
205,0.12
210,10.76
215,0.16
220,0.2
225,15.32
230,14.72
235,15.64
240,0.04
245,15.8
250,15.28
255,15.92
260,0.08
265,15.4
270,17.28
275,16.04
280,19.4
285,16.76
290,17.96
295,17.24
300,17.96
305,17.68
310,18.44
315,19.32
320,20.0
325,18.56
330,18.4
335,20.4
340,19.96
345,19.6
350,18.6
355,18.6
360,18.32
365,0.24
370,17.12
375,19.04
380,20.04
385,20.92
390,20.28
395,20.12
400,20.64
405,21.28
410,21.48
415,20.48
420,20.8
425,21.12
430,20.72
435,20.96
440,21.04
445,20.72
450,22.84
455,20.52
460,23.92
465,21.28
470,20.92
475,21.72
480,21.16
485,21.48
490,21.52
495,21.32
500,21.32
