day,start_creatures,food_spawned,survivors,died,end_creatures
1,5,100,5,0,5
2,10,100,9,1,9
3,18,100,12,6,12
4,24,100,18,6,18
5,33,100,24,9,24
6,42,100,25,17,25
7,43,100,19,24,19
8,33,100,20,13,20
9,36,100,22,14,22
10,39,100,26,13,26
11,45,100,27,18,27
12,46,100,26,20,26
13,43,100,29,14,29
14,51,100,26,25,26
15,43,100,27,16,27
16,48,100,31,17,31
17,56,100,32,24,32
18,52,100,34,18,34
19,59,100,27,32,27
20,42,100,30,12,30
21,50,100,31,19,31
22,55,100,30,25,30
23,56,100,38,18,38
24,63,100,32,31,32
25,57,100,34,23,34
26,56,100,30,26,30
27,51,100,29,22,29
28,47,100,27,20,27
29,45,100,23,22,23
30,42,100,31,11,31
31,48,100,27,21,27
32,48,100,33,15,33
33,55,100,35,20,35
34,58,100,34,24,34
35,56,100,33,23,33
36,56,100,31,25,31
37,57,100,32,25,32
38,53,100,30,23,30
39,53,100,31,22,31
40,53,100,29,24,29
41,47,100,29,18,29
42,46,100,29,17,29
43,52,100,36,16,36
44,61,100,38,23,38
45,59,100,31,28,31
46,54,100,38,16,38
47,67,100,37,30,37
48,59,100,38,21,38
49,62,100,40,22,40
50,65,100,38,27,38
51,63,100,29,34,29
52,52,100,33,19,33
53,54,100,33,21,33
54,55,100,29,26,29
55,49,100,32,17,32
56,56,100,31,25,31
57,54,100,34,20,34
58,55,100,34,21,34
59,55,100,33,22,33
60,55,100,39,16,39
61,64,100,33,31,33
62,54,100,31,23,31
63,52,100,33,19,33
64,56,100,35,21,35
65,55,100,39,16,39
66,65,100,40,25,40
67,64,100,38,26,38
68,65,100,34,31,34
69,58,100,37,21,37
70,64,100,43,21,43
71,68,100,38,30,38
72,62,100,40,22,40
73,63,100,35,28,35
74,57,100,36,21,36
75,59,100,36,23,36
76,57,100,35,22,35
77,57,100,37,20,37
78,61,100,41,20,41
79,64,100,38,26,38
80,64,100,36,28,36
81,63,100,42,21,42
82,68,100,37,31,37
83,61,100,40,21,40
84,65,100,37,28,37
85,61,100,36,25,36
86,61,100,39,22,39
87,57,100,33,24,33
88,55,100,38,17,38
89,64,100,42,22,42
90,66,100,42,24,42
91,66,100,40,26,40
92,60,100,35,25,35
93,57,100,28,29,28
94,52,100,40,12,40
95,65,100,36,29,36
96,61,100,40,21,40
97,64,100,36,28,36
98,60,100,39,21,39
99,68,100,41,27,41
100,67,100,42,25,42
101,69,100,42,27,42
102,71,100,43,28,43
103,66,100,34,32,34
104,57,100,37,20,37
105,62,100,41,21,41
106,68,100,45,23,45
107,76,100,42,34,42
108,69,100,45,24,45
109,70,100,41,29,41
110,68,100,43,25,43
111,72,100,46,26,46
112,76,100,44,32,44
113,72,100,47,25,47
114,76,100,49,27,49
115,75,100,48,27,48
116,77,100,48,29,48
117,75,100,43,32,43
118,72,100,52,20,52
119,78,100,45,33,45
120,73,100,47,26,47
121,74,100,49,25,49
122,74,100,49,25,49
123,78,100,48,30,48
124,77,100,45,32,45
125,70,100,48,22,48
126,73,100,50,23,50
127,77,100,43,34,43
128,69,100,45,24,45
129,72,100,43,29,43
130,68,100,47,21,47
131,74,100,52,22,52
132,77,100,50,27,50
133,77,100,56,21,56
134,85,100,53,32,53
135,78,100,52,26,52
136,79,100,54,25,54
137,82,100,49,33,49
138,80,100,56,24,56
139,85,100,55,30,55
140,80,100,51,29,51
141,78,100,53,25,53
142,79,100,52,27,52
143,78,100,54,24,54
144,79,100,52,27,52
145,81,100,51,30,51
146,81,100,56,25,56
147,84,100,57,27,57
148,84,100,57,27,57
149,87,100,56,31,56
150,80,100,55,25,55
151,83,100,60,23,60
152,80,100,54,26,54
153,83,100,49,34,49
154,75,100,53,22,53
155,81,100,52,29,52
156,82,100,57,25,57
157,86,100,59,27,59
158,87,100,56,31,56
159,80,100,52,28,52
160,77,100,53,24,53
161,86,100,60,26,60
162,86,100,61,25,61
163,89,100,59,30,59
164,84,100,60,24,60
165,89,100,62,27,62
166,88,100,59,29,59
167,83,100,54,29,54
168,81,100,56,25,56
169,78,100,55,23,55
170,85,100,56,29,56
171,80,100,57,23,57
172,84,100,56,28,56
173,83,100,51,32,51
174,83,100,53,30,53
175,78,100,55,23,55
176,81,100,54,27,54
177,80,100,53,27,53
178,82,100,52,30,52
179,83,100,56,27,56
180,82,100,54,28,54
181,78,100,49,29,49
182,75,100,54,21,54
183,83,100,58,25,58
184,85,100,58,27,58
185,85,100,57,28,57
186,83,100,61,22,61
187,89,100,58,31,58
188,85,100,54,31,54
189,79,100,59,20,59
190,84,100,56,28,56
191,81,100,58,23,58
192,85,100,54,31,54
193,84,100,56,28,56
194,80,100,49,31,49
195,75,100,50,25,50
196,80,100,55,25,55
197,84,100,55,29,55
198,82,100,53,29,53
199,78,100,59,19,59
200,89,100,61,28,61
201,89,100,55,34,55
202,79,100,49,30,49
203,74,100,49,25,49
204,78,100,53,25,53
205,79,100,54,25,54
206,81,100,55,26,55
207,82,100,57,25,57
208,84,100,59,25,59
209,82,100,51,31,51
210,81,100,52,29,52
211,78,100,52,26,52
212,77,100,59,18,59
213,87,100,55,32,55
214,80,100,59,21,59
215,84,100,59,25,59
216,83,100,51,32,51
217,75,100,49,26,49
218,78,100,49,29,49
219,73,100,45,28,45
220,75,100,45,30,45
221,68,100,46,22,46
222,73,100,49,24,49
223,76,100,50,26,50
224,80,100,56,24,56
225,82,100,56,26,56
226,88,100,60,28,60
227,86,100,57,29,57
228,86,100,61,25,61
229,86,100,57,29,57
230,83,100,57,26,57
231,83,100,64,19,64
232,88,100,62,26,62
233,86,100,57,29,57
234,88,100,57,31,57
235,83,100,61,22,61
236,89,100,58,31,58
237,86,100,58,28,58
238,90,100,58,32,58
239,85,100,62,23,62
240,88,100,63,25,63
241,90,100,65,25,65
242,86,100,59,27,59
243,92,100,57,35,57
244,82,100,52,30,52
245,81,100,60,21,60
246,89,100,62,27,62
247,88,100,59,29,59
248,85,100,56,29,56
249,88,100,57,31,57
250,87,100,53,34,53
251,82,100,60,22,60
252,85,100,59,26,59
253,88,100,60,28,60
254,87,100,63,24,63
255,92,100,65,27,65
256,89,100,62,27,62
257,89,100,58,31,58
258,79,100,53,26,53
259,80,100,53,27,53
260,79,100,52,27,52
261,80,100,59,21,59
262,86,100,61,25,61
263,92,100,58,34,58
264,88,100,61,27,61
265,91,100,56,35,56
266,77,100,58,19,58
267,88,100,55,33,55
268,83,100,55,28,55
269,80,100,55,25,55
270,85,100,59,26,59
271,87,100,62,25,62
272,92,100,57,35,57
273,84,100,61,23,61
274,86,100,60,26,60
275,89,100,59,30,59
276,85,100,59,26,59
277,88,100,64,24,64
278,90,100,62,28,62
279,86,100,56,30,56
280,87,100,52,35,52
281,81,100,52,29,52
282,78,100,49,29,49
283,76,100,56,20,56
284,80,100,54,26,54
285,86,100,52,34,52
286,83,100,54,29,54
287,81,100,53,28,53
288,84,100,53,31,53
289,78,100,55,23,55
290,82,100,56,26,56
291,83,100,56,27,56
292,82,100,59,23,59
293,83,100,60,23,60
294,91,100,53,38,53
295,79,100,63,16,63
296,90,100,56,34,56
297,82,100,59,23,59
298,88,100,57,31,57
299,86,100,50,36,50
300,77,100,54,23,54
301,81,100,60,21,60
302,89,100,56,33,56
303,83,100,55,28,55
304,85,100,57,28,57
305,81,100,50,31,50
306,75,100,60,15,60
307,86,100,55,31,55
308,81,100,51,30,51
309,82,100,58,24,58
310,89,100,64,25,64
311,87,100,51,36,51
312,77,100,53,24,53
313,84,100,62,22,62
314,90,100,59,31,59
315,92,100,51,41,51
316,78,100,52,26,52
317,81,100,54,27,54
318,82,100,49,33,49
319,72,100,53,19,53
320,81,100,58,23,58
321,84,100,65,19,65
322,91,100,60,31,60
323,88,100,60,28,60
324,84,100,54,30,54
325,81,100,49,32,49
326,79,100,53,26,53
327,81,100,51,30,51
328,79,100,49,30,49
329,76,100,56,20,56
330,88,100,54,34,54
331,77,100,53,24,53
332,81,100,54,27,54
333,81,100,53,28,53
334,77,100,55,22,55
335,82,100,60,22,60
336,87,100,53,34,53
337,82,100,55,27,55
338,79,100,56,23,56
339,83,100,53,30,53
340,79,100,52,27,52
341,75,100,48,27,48
342,74,100,57,17,57
343,84,100,53,31,53
344,83,100,54,29,54
345,84,100,55,29,55
346,80,100,55,25,55
347,86,100,60,26,60
348,86,100,56,30,56
349,85,100,60,25,60
350,91,100,53,38,53
351,74,100,52,22,52
352,83,100,59,24,59
353,87,100,59,28,59
354,85,100,58,27,58
355,84,100,62,22,62
356,89,100,53,36,53
357,79,100,52,27,52
358,79,100,54,25,54
359,84,100,47,37,47
360,72,100,52,20,52
361,84,100,55,29,55
362,79,100,54,25,54
363,80,100,52,28,52
364,81,100,49,32,49
365,76,100,56,20,56
366,87,100,63,24,63
367,87,100,53,34,53
368,76,100,62,14,62
369,90,100,60,30,60
370,88,100,59,29,59
371,82,100,49,33,49
372,77,100,53,24,53
373,83,100,53,30,53
374,78,100,46,32,46
375,74,100,52,22,52
376,79,100,56,23,56
377,81,100,53,28,53
378,81,100,52,29,52
379,81,100,55,26,55
380,83,100,56,27,56
381,82,100,60,22,60
382,86,100,56,30,56
383,84,100,59,25,59
384,87,100,56,31,56
385,86,100,57,29,57
386,87,100,58,29,58
387,85,100,58,27,58
388,88,100,58,30,58
389,84,100,63,21,63
390,88,100,60,28,60
391,87,100,58,29,58
392,86,100,55,31,55
393,80,100,59,21,59
394,85,100,55,30,55
395,81,100,56,25,56
396,88,100,62,26,62
397,89,100,55,34,55
398,81,100,52,29,52
399,79,100,64,15,64
400,91,100,58,33,58
401,88,100,59,29,59
402,85,100,56,29,56
403,86,100,56,30,56
404,83,100,61,22,61
405,86,100,50,36,50
406,80,100,61,19,61
407,87,100,59,28,59
408,90,100,56,34,56
409,79,100,60,19,60
410,88,100,62,26,62
411,88,100,59,29,59
412,81,100,54,27,54
413,82,100,57,25,57
414,84,100,61,23,61
415,88,100,61,27,61
416,91,100,62,29,62
417,87,100,58,29,58
418,87,100,59,28,59
419,86,100,60,26,60
420,88,100,59,29,59
421,89,100,57,32,57
422,87,100,54,33,54
423,85,100,54,31,54
424,77,100,57,20,57
425,87,100,62,25,62
426,90,100,63,27,63
427,89,100,60,29,60
428,90,100,66,24,66
429,93,100,68,25,68
430,92,100,61,31,61
431,86,100,54,32,54
432,83,100,57,26,57
433,88,100,58,30,58
434,83,100,60,23,60
435,87,100,56,31,56
436,86,100,65,21,65
437,92,100,58,34,58
438,87,100,61,26,61
439,89,100,62,27,62
440,86,100,61,25,61
441,87,100,66,21,66
442,89,100,62,27,62
443,90,100,58,32,58
444,86,100,49,37,49
445,80,100,56,24,56
446,80,100,55,25,55
447,82,100,57,25,57
448,83,100,58,25,58
449,87,100,56,31,56
450,85,100,62,23,62
451,89,100,54,35,54
452,81,100,58,23,58
453,84,100,56,28,56
454,85,100,60,25,60
455,85,100,58,27,58
456,88,100,52,36,52
457,80,100,62,18,62
458,91,100,58,33,58
459,89,100,57,32,57
460,85,100,56,29,56
461,82,100,57,25,57
462,84,100,62,22,62
463,90,100,60,30,60
464,85,100,52,33,52
465,77,100,60,17,60
466,83,100,56,27,56
467,81,100,61,20,61
468,90,100,57,33,57
469,86,100,66,20,66
470,90,100,59,31,59
471,90,100,61,29,61
472,91,100,63,28,63
473,90,100,62,28,62
474,90,100,66,24,66
475,90,100,62,28,62
476,87,100,62,25,62
477,93,100,61,32,61
478,90,100,60,30,60
479,84,100,58,26,58
480,84,100,57,27,57
481,89,100,57,32,57
482,83,100,57,26,57
483,82,100,51,31,51
484,83,100,61,22,61
485,87,100,63,24,63
486,92,100,61,31,61
487,84,100,53,31,53
488,79,100,54,25,54
489,80,100,57,23,57
490,84,100,61,23,61
491,89,100,61,28,61
492,87,100,56,31,56
493,81,100,52,29,52
494,78,100,56,22,56
495,85,100,58,27,58
496,85,100,63,22,63
497,88,100,57,31,57
498,83,100,53,30,53
499,80,100,60,20,60
500,87,100,63,24,63
501,90,100,60,30,60
502,86,100,53,33,53
503,80,100,55,25,55
504,81,100,56,25,56
505,85,100,60,25,60
506,87,100,59,28,59
507,91,100,57,34,57
508,87,100,63,24,63
509,91,100,67,24,67
510,91,100,61,30,61
511,88,100,62,26,62
512,89,100,57,32,57
513,86,100,60,26,60
514,86,100,64,22,64
515,93,100,58,35,58
516,88,100,60,28,60
517,89,100,57,32,57
518,81,100,54,27,54
519,84,100,55,29,55
520,84,100,62,22,62
521,89,100,66,23,66
522,93,100,61,32,61
523,87,100,64,23,64
524,94,100,55,39,55
525,82,100,62,20,62
526,86,100,63,23,63
527,91,100,53,38,53
528,82,100,55,27,55
529,83,100,57,26,57
530,85,100,57,28,57
531,79,100,55,24,55
532,78,100,55,23,55
533,82,100,61,21,61
534,89,100,64,25,64
535,90,100,61,29,61
536,88,100,57,31,57
537,82,100,56,26,56
538,86,100,56,30,56
539,83,100,51,32,51
540,82,100,50,32,50
541,79,100,61,18,61
542,87,100,58,29,58
543,84,100,57,27,57
