day,average_speed,average_size,average_intelligence
1,1.0,1.0,1.0
2,0.9962165231508902,0.9700920220146105,0.9748656045301021
3,0.9941962269042066,0.9628057048003296,0.9717335648497826
4,1.0119453088025334,0.9733656022242078,0.9611360091682496
5,1.0204862937577255,0.983603601793629,0.9749827243019293
6,1.042749147222277,0.9835347886414616,0.9834059542028077
7,1.0724185114729785,0.9786716211197078,0.9870419862797735
8,1.1090065606923312,0.971121327166305,1.02006654407634
9,1.1488135152215775,0.9748877448333059,1.0295342560871863
10,1.1726077252014857,0.9649140337354729,1.0187013382980825
11,1.2613339335619855,0.9446695629903925,1.0366442729837424
12,1.2843226230189877,0.9311177021379696,1.0365537539843726
13,1.3098430117133673,0.9150666162612361,1.0648036493041484
14,1.3406288968183904,0.9188628222065308,1.0649187454277802
15,1.3773723272698943,0.9267298386908048,1.0301067474747645
16,1.4123605484273225,0.9176671726750066,1.0198048224440968
17,1.4551277088475418,0.9153066979628149,1.0295983115291913
18,1.4597434274282306,0.9175222881777704,1.014584568780688
19,1.4794640206337242,0.9300717817395591,0.9960762005529589
20,1.5345932734233838,0.9354745753957002,0.9967243447616599
21,1.5562767262152448,0.9221806319277545,0.9986191136681997
22,1.54738574455239,0.9248347923913003,1.0104464614486195
23,1.5624693415189732,0.9382546002325292,0.9945591999573712
24,1.5965595628866496,0.9588684680506311,1.0015139761623808
25,1.630201722438987,0.9274709641758855,0.98878990883353
26,1.6981804758553611,0.9446465376990647,1.0028226703671057
27,1.7323091738174687,0.9436617278093112,1.0046854758950712
28,1.7917546409536065,0.9348671428606127,1.0299283169381086
29,1.828821119978973,0.9789158018669555,1.0382539370057335
30,1.9041152540288722,1.0051123540185345,1.045479669693563
31,1.9382525122453502,1.0131867163987762,1.054754714575488
32,2.0140094951033576,1.002001722330245,1.0815335526619245
33,2.074649814492196,1.0156353391980493,1.0808083426109636
34,2.1569769009558435,1.005889805439295,1.1243979575778282
35,2.2307548022807104,1.021798940269567,1.1234981761192042
36,2.242085316853117,1.0170359122512245,1.13807488588867
37,2.2881618002000357,1.0196864971929573,1.1268410793529673
38,2.4132928014839368,0.9994574348404861,1.1493600413232679
39,2.5195150975396143,1.0107403947419793,1.149023146542512
40,2.628130040654345,1.0625166138535351,1.1852998184478292
41,2.7461342783273213,1.053680231228987,1.1451768275380612
42,2.810079250930798,1.093331398497195,1.1456592881674288
43,2.834561683914833,1.0702437504997246,1.146803037142696
44,2.8912077451660236,1.0592519642918243,1.1536689770143014
45,2.981083649740249,1.0971661068768044,1.137957479048036
46,3.127775901009259,1.0350235269249661,1.177759452528532
47,3.175338228588483,1.013104794903701,1.173423500901902
48,3.300912384120492,0.9979763171906537,1.1778091846914724
49,3.347986302702003,1.0533283802661153,1.130952436591881
50,3.4006023211421645,1.0739557862844946,1.1088819299519752
51,3.463314819957416,1.1134104470476625,1.0894830163313618
52,3.4849280921766246,1.1605049701575862,1.0566913833263263
53,3.5668922783188415,1.1164267168071094,1.0954280568286523
54,3.6692016752442007,1.1397646218083797,1.0896613434718467
55,3.7023488832084577,1.1927145022487302,1.105032442952246
56,3.670942693046331,1.1894605553394306,1.1227767280369867
57,3.76737324160512,1.2514653826055908,1.1306434224013011
58,3.7945377294275264,1.2969820561451058,1.1644247962106076
59,3.828817173464291,1.2972488093791252,1.1873783553441846
60,3.95859674580584,1.3174898746409176,1.1902865789141643
61,3.994130962819131,1.3293272580422586,1.1823090491651358
62,4.194221582502428,1.327387305834729,1.2127526691570705
63,4.365212804591499,1.3048557843567268,1.2114752279060228
64,4.470277191474653,1.315253218971885,1.201471998432719
